country,prevalencePer10K,Country Name,Country Code,Series Name,Series Code,2020 Country Population
Qatar,151.2,Qatar,QAT,"Population, total",SP.POP.TOTL,2881060
United Arab Emirates,112.4,United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9890400
Oman,107.2,Oman,OMN,"Population, total",SP.POP.TOTL,5106622
Bahrain,103.3,Bahrain,BHR,"Population, total",SP.POP.TOTL,1701583
Saudi Arabia,100.7,Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,34813867
Kuwait,97.7,Kuwait,KWT,"Population, total",SP.POP.TOTL,4270563
Jordan,92.1,Jordan,JOR,"Population, total",SP.POP.TOTL,10203140
Syria,91.9,Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17500657
Afghanistan,91.2,Afghanistan,AFG,"Population, total",SP.POP.TOTL,38928341
Palestine,91,Israel,ISR,"Population, total",SP.POP.TOTL,9215100
Sweden,90.8,Sweden,SWE,"Population, total",SP.POP.TOTL,10353442
Libya,90.6,Libya,LBY,"Population, total",SP.POP.TOTL,6871287
Yemen,90.4,"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,29825968
Iran,90.3,"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,83992953
Sudan,90.1,Sudan,SDN,"Population, total",SP.POP.TOTL,43849269
Mexico,89.9,Mexico,MEX,"Population, total",SP.POP.TOTL,128932753
Lebanon,89.8,Lebanon,LBN,"Population, total",SP.POP.TOTL,6825442
Iraq,89.4,Iraq,IRQ,"Population, total",SP.POP.TOTL,40222503
Algeria,89.4,Algeria,DZA,"Population, total",SP.POP.TOTL,43851043
Egypt,89.4,"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,102334403
India,88.5,India,IND,"Population, total",SP.POP.TOTL,1380004385
Bhutan,88.4,Bhutan,BTN,"Population, total",SP.POP.TOTL,771612
Morocco,88.4,Morocco,MAR,"Population, total",SP.POP.TOTL,36910558
Australia,88.2,Australia,AUS,"Population, total",SP.POP.TOTL,25693267
Honduras,88,Honduras,HND,"Population, total",SP.POP.TOTL,9904608
Tunisia,87.9,Tunisia,TUN,"Population, total",SP.POP.TOTL,11818618
Turkey,87.8,Turkiye,TUR,"Population, total",SP.POP.TOTL,84339067
Costa Rica,87.7,Costa Rica,CRI,"Population, total",SP.POP.TOTL,5094114
Nicaragua,87.5,Nicaragua,NIC,"Population, total",SP.POP.TOTL,6624554
