"country","prevalencePer10K"
"Qatar","151.2000"
"United Arab Emirates","112.4000"
"Oman","107.2000"
"Bahrain","103.3000"
"Saudi Arabia","100.7000"
"Kuwait","97.7000"
"Jordan","92.1000"
"Syria","91.9000"
"Afghanistan","91.2000"
"Palestine","91"
"Sweden","90.8000"
"Libya","90.6000"
"Yemen","90.4000"
"Iran","90.3000"
"Sudan","90.1000"
"Mexico","89.9000"
"Lebanon","89.8000"
"Iraq","89.4000"
"Algeria","89.4000"
"Egypt","89.4000"
"India","88.5000"
"Bhutan","88.4000"
"Morocco","88.4000"
"Australia","88.2000"
"Honduras","88"
"Tunisia","87.9000"
"Turkey","87.8000"
"Costa Rica","87.7000"
"Nicaragua","87.5000"
"Panama","87.4000"
"Venezuela","87"
"Pakistan","86.7000"
"Guatemala","86.5000"
"Kenya","86.5000"
"Canada","86.4000"
"Belize","85.9000"
"Colombia","85.8000"
"Japan","85.8000"
"Grenada","85.6000"
"Greenland","85.5000"
"New Zealand","85.5000"
"Bermuda","85.4000"
"Dominican Republic","85.3000"
"Bangladesh","85.3000"
"Jamaica","85"
"Saint Vincent and the Grenadines","84.8000"
"Guyana","84.8000"
"Eswatini","84.8000"
"Lesotho","84.8000"
"Tajikistan","84.8000"
"Dominica","84.7000"
"Suriname","84.6000"
"Zimbabwe","84.5000"
"Ecuador","84.5000"
"Peru","84.5000"
"Botswana","84.1000"
"Comoros","84"
"Zambia","84"
"Uganda","84"
"Paraguay","83.9000"
"Bolivia","83.9000"
"Somalia","83.9000"
"Saint Lucia","83.8000"
"Eritrea","83.8000"
"Haiti","83.7000"
"El Salvador","83.6000"
"South Africa","83.6000"
"Indonesia","83.6000"
"North Macedonia","83.5000"
"Malawi","83.5000"
"Ethiopia","83.4000"
"Equatorial Guinea","83.3000"
"Albania","83.3000"
"Mauritania","83.3000"
"Cuba","83.3000"
"Nepal","83.3000"
"Montenegro","83.2000"
"Kyrgyzstan","83.2000"
"Republic of the Congo","83.1000"
"Ivory Coast","83.1000"
"Tanzania","83.1000"
"Gabon","83"
"Uzbekistan","83"
"Samoa","82.9000"
"Timor-Leste","82.9000"
"Trinidad and Tobago","82.9000"
"Namibia","82.9000"
"Nigeria","82.9000"
"Bosnia and Herzegovina","82.8000"
"Madagascar","82.8000"
"Angola","82.8000"
"Bahamas","82.7000"
"Turkmenistan","82.7000"
"Mali","82.7000"
"Sao Tome and Principe","82.6000"
"Maldives","82.6000"
"Solomon Islands","82.6000"
"Cameroon","82.5000"
"DR Congo","82.5000"
"Brazil","82.5000"
"Gambia","82.4000"
"Liberia","82.4000"
"Chad","82.4000"
"Mongolia","82.3000"
"South Sudan","82.3000"
"Marshall Islands","82.2000"
"Papua New Guinea","82.2000"
"Mozambique","82.2000"
"Central African Republic","82.1000"
"Togo","82.1000"
"American Samoa","82"
"Slovakia","82"
"Guinea","82"
"Ghana","82"
"Northern Mariana Islands","81.9000"
"Puerto Rico","81.9000"
"Azerbaijan","81.9000"
"Benin","81.9000"
"Chile","81.9000"
"Niger","81.9000"
"Slovenia","81.8000"
"Philippines","81.8000"
"Tonga","81.7000"
"Czech Republic","81.7000"
"Serbia","81.6000"
"Senegal","81.6000"
"Malaysia","81.6000"
"Vanuatu","81.5000"
"Djibouti","81.5000"
"Argentina","81.4000"
"Guinea-Bissau","81.3000"
"Sierra Leone","81.3000"
"Poland","81.2000"
"Barbados","81.1000"
"Fiji","81.1000"
"Seychelles","80.9000"
"United States","80.9000"
"Uruguay","80.8000"
"Laos","80.8000"
"Kazakhstan","80.7000"
"Croatia","80.6000"
"Guam","80.5000"
"Vietnam","80.5000"
"Moldova","80.3000"
"Kiribati","80.1000"
"Cambodia","80.1000"
"Bulgaria","80"
"Romania","80"
"Hungary","79.9000"
"Mauritius","79.8000"
"United States Virgin Islands","79.7000"
"China","79.7000"
"Myanmar","79.3000"
"Georgia","78.9000"
"Sri Lanka","78.7000"
"Armenia","78.2000"
"United Kingdom","78.1000"
"Thailand","78.1000"
"Ireland","77.8000"
"Belarus","77.7000"
"Estonia","77.6000"
"Taiwan","77.2000"
"Russia","77.1000"
"Ukraine","77"
"Lithuania","76.9000"
"North Korea","76.4000"
"Latvia","76.3000"
"Israel","75.1000"
"Luxembourg","74.6000"
"Malta","74.3000"
"Andorra","74.1000"
"Cyprus","73.9000"
"Denmark","73.8000"
"Switzerland","73.8000"
"Netherlands","73.8000"
"Finland","73.2000"
"Belgium","73"
"Spain","73"
"Austria","72.6000"
"Greece","72.4000"
"Germany","72.2000"
"Norway","72"
"Italy","72"
"Iceland","71.9000"
"Portugal","70.5000"
"France","69.3000"
